name;Review;Weight;Price_before_discount;Discount;price;Timewindow_discount;Origin;Brand;Id;Url;Subcategory;time;Swiss_product;Discount_relative;Price_higher_avg;Last_char_price;Is_last_char_9;main_category;BIO;Date;Word_count;Unit;amount;price per 100g/pice;Weight_unit;Discount_start_date;Discount_end_date;Discount_start_day;Discount_end_day;Discount_duration;Discount_exist;Last_Available_Date;Product_new;Store
Clementinen 1kg;0.0;pro 1kg |;;;1.79;;Spanien;;80088;https://sortiment.lidl.ch/de/clementinen-1kg-0080088;Obst;2024-11-04 17:18:40.294488;no;;no;9;yes;Obst;no;2024-11-04;2;1kg;1000g;0.18;g;;;;;;no;2024-11-03;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-10-27 23:06:55.411551;no;;yes;9;yes;Obst;no;2024-10-27;2;2,3kg;2300g;0.17;g;;;;;;no;;;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-10-28 18:00:51.015288;no;;yes;9;yes;Obst;no;2024-10-28;2;2,3kg;2300g;0.17;g;;;;;;no;2024-10-27;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-10-29 19:54:18.207193;no;;yes;9;yes;Obst;no;2024-10-29;2;2,3kg;2300g;0.17;g;;;;;;no;2024-10-28;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-10-30 20:51:01.157397;no;;yes;9;yes;Obst;no;2024-10-30;2;2,3kg;2300g;0.17;g;;;;;;no;2024-10-29;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-10-31 10:28:23.800286;no;;yes;9;yes;Obst;no;2024-10-31;2;2,3kg;2300g;0.17;g;;;;;;no;2024-10-30;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-11-01 09:03:50.881119;no;;yes;9;yes;Obst;no;2024-11-01;2;2,3kg;2300g;0.17;g;;;;;;no;2024-10-31;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-11-03 17:40:10.068931;no;;yes;9;yes;Obst;no;2024-11-03;2;2,3kg;2300g;0.17;g;;;;;;no;2024-11-01;no;lidl
Clementinen 2,3kg;0.0;pro 2,3kg | 1Kg = 1.74 CHF;;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;2024-11-04 17:18:40.294488;no;;yes;9;yes;Obst;no;2024-11-04;2;2,3kg;2300g;0.17;g;;;;;;no;2024-11-03;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-10-27 23:06:55.411551;no;;no;9;yes;Obst;no;2024-10-27;1;1kg;1000g;0.2;g;;;;;;no;;;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-10-28 18:00:51.015288;no;;no;9;yes;Obst;no;2024-10-28;1;1kg;1000g;0.2;g;;;;;;no;2024-10-27;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-10-29 19:54:18.207193;no;;no;9;yes;Obst;no;2024-10-29;1;1kg;1000g;0.2;g;;;;;;no;2024-10-28;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-10-30 20:51:01.157397;no;;no;9;yes;Obst;no;2024-10-30;1;1kg;1000g;0.2;g;;;;;;no;2024-10-29;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-10-31 10:28:23.800286;no;;no;9;yes;Obst;no;2024-10-31;1;1kg;1000g;0.2;g;;;;;;no;2024-10-30;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-11-01 09:03:50.881119;no;;no;9;yes;Obst;no;2024-11-01;1;1kg;1000g;0.2;g;;;;;;no;2024-10-31;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-11-03 17:40:10.068931;no;;no;9;yes;Obst;no;2024-11-03;1;1kg;1000g;0.2;g;;;;;;no;2024-11-01;no;lidl
Orangen;3.0;pro 1kg |;;;1.99;;Spanien;;80135;https://sortiment.lidl.ch/de/orangen-0080135;Obst;2024-11-04 17:18:40.294488;no;;no;9;yes;Obst;no;2024-11-04;1;1kg;1000g;0.2;g;;;;;;no;2024-11-03;no;lidl
Orangen 1,5kg;1.0;pro 1.5kg | 1Kg = 1.50 CHF;;;2.25;;variabel;;80141;https://sortiment.lidl.ch/de/orangen-1-5kg-0080141;Obst;2024-10-27 23:06:55.411551;no;;no;5;no;Obst;no;2024-10-27;2;1.5kg;1500g;0.15;g;;;;;;no;;;lidl
Orangen 1,5kg;1.0;pro 1.5kg | 1Kg = 1.50 CHF;;;2.25;;variabel;;80141;https://sortiment.lidl.ch/de/orangen-1-5kg-0080141;Obst;2024-10-28 18:00:51.015288;no;;no;5;no;Obst;no;2024-10-28;2;1.5kg;1500g;0.15;g;;;;;;no;2024-10-27;no;lidl
