Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
Mini Paprika Mix;2.0;pro 200g | 100g = 0.50 CHF;0.99;;0.99;;Spanien;;82670;https://sortiment.lidl.ch/de/mini-paprika-mix-0082670;Gemüse;;no;no;3;200g;200g;0.49;g;;;;;;no
Pak Choi 2 Stk;2.0;pro 2 Stk. |;1.59;;1.59;;Spanien;;82923;https://sortiment.lidl.ch/de/pak-choi-2-stk-0082923;Gemüse;;no;no;4;2;2 Stücke;0.8;Stück;;;;;;no
Kartoffeln 1.5kg;42.0;pro 1,5kg | 1Kg = 1.46 CHF;2.19;;2.19;;Schweiz;Terra Natura;83223;https://sortiment.lidl.ch/de/kartoffeln-1-5kg-0083223;Gemüse;;yes;no;2;1,5kg;1500g;0.15;g;;;;;;no
Bio Champignons braun;26.0;pro 250g | 100g = 0.72 CHF;1.79;;1.79;;Deutschland;BIO Organic;84597;https://sortiment.lidl.ch/de/bio-champignons-braun-0084597;Gemüse;;no;yes;3;250g;250g;0.72;g;;;;;;no
Schalotten 500g;5.0;pro 500g | 1Kg = 3.30 CHF;1.65;;1.65;;Schweiz;Terra Natura;83377;https://sortiment.lidl.ch/de/schalotten-500g-0083377;Gemüse;;yes;no;2;500g;500g;0.33;g;;;;;;no
Zwiebeln gelb 1kg;23.0;pro 1kg |;1.79;;1.79;;Schweiz;Terra Natura;83331;https://sortiment.lidl.ch/de/zwiebeln-gelb-1kg-0083331;Gemüse;;yes;no;3;1kg;1000g;0.18;g;;;;;;no
Spitzpaprika hellgrün 400g;;pro 400g | 100g = 0.45 CHF;1.79;;1.79;;Marokko;;82569;https://sortiment.lidl.ch/de/spitzpaprika-hellgruen-400g-0082569;Gemüse;;no;no;3;400g;400g;0.45;g;;;;;;no
Bio Kohlmix;;pro Stück |;2.49;;2.49;;Schweiz;BIO Organic;84457;https://sortiment.lidl.ch/de/bio-kohlmix-0084457;Gemüse;;yes;yes;2;Stück;1 Stück;2.49;Stück;;;;;;no
Rüebli 1kg;27.0;pro 1kg |;1.69;;1.69;;Schweiz;Terra Natura;82761;https://sortiment.lidl.ch/de/rueebli-1kg-0082761;Gemüse;;yes;no;2;1kg;1000g;0.17;g;;;;;;no
Bio Snack Rüebli 200g;25.0;pro 200g | 100g = 0.85 CHF;1.69;;1.69;;variabel;BIO Organic;84449;https://sortiment.lidl.ch/de/bio-snack-rueebli-200g-0084449;Gemüse;;no;yes;4;200g;200g;0.84;g;;;;;;no
