name,price,amount,price_per_amount,country_origin,additional_info,category,time,BIO,price per 100g/pice,Swiss_product,retailer,main_category,sub_category,Title,Review,Weight,Price_before_discount,Discount,Timewindow_discount,Brand,Id,Url,Date,Discount_relative,Price_higher_avg,Last_char_price,Is_last_char_9,Word_count,Unit,Weight_unit,Discount_start_date,Discount_end_date,Discount_start_day,Discount_end_day,Discount_duration,Discount_exist,unit,product_url,product_simple
Clementinen 1.5kg,2.69,1.5 kg,1.79/1kg,Ursprungsland: Spanien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.179,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Clementine
BIO NATURA Zitrone per Stück,0.49,1 Stück,0.49/Stück,"Ursprungsland: Spanien, Italien","Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: l",obst/zitrusfrüchte,2024-11-01,True,0.49,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Zitrone
Satsumas 1kg,1.19,1 kg,1.19/1kg,Ursprungsland: Spanien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.119,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Satsuma
Limetten 500g,1.69,500 g,0.34/100g,"Ursprungsland: Brasilien, Honduras, Kolumbien","Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.34,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Limette
Grapefruit pro Stück,0.79,1 Stück,0.79/Stk./pc./pz.,Ursprungsland: Spanien,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.79,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Grapefruit
Zitronen 500g,0.95,500 g,0.19/100g,"Ursprungsland: Spanien, Italien","Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.19,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Zitrone
Orangen 1.5kg,2.25,1.5 kg,1.50/1kg,"Ursprungsland: Argentinien, Simbabwe, Südafrika, Uruguay, Spanien","Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: I",obst/zitrusfrüchte,2024-11-01,False,0.15,False,aldi,obst,zitrusfrüchte,,,,,,,,,,,,,,,,,,,,,,,,,,Orange
"Schweizer Kopfsalatherzen 2er-Pack, SUISSE GARANTIE",2.99,2 Stück,1.50/Stk./pc./pz.,Ursprungsland: Schweiz,"Zusatzinformationen:
Bei dem Artikelbild handelt es sich um ein Symbolbild. Da es sich um ein Naturprodukt handelt, kann die Farbe bei der Lieferung abweichen.
Klasse: l",obst-&-gemüse/salate,2024-11-01,False,1.5,True,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salatherz
FRESH CUT Karotten geraffelt,1.49,250 g,0.60/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.6,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Karotte
FRESH CUT Mischsalat,1.99,320 g,0.62/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.62,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Eisbergsalat geschnitten,1.99,400 g,0.50/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.5,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Salat Mix,1.59,250 g,0.64/100g,,,obst-&-gemüse/salate,2024-11-01,False,0.64,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
FRESH CUT Grüner Kopfsalat mit Herzen,1.99,200 g,1.00/100g,,,obst-&-gemüse/salate,2024-11-01,False,1.0,,aldi,gemüse,salate,,,,,,,,,,,,,,,,,,,,,,,,,,Salat
